                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71665,                0.90743,                0.90203,                0.99476,                0.98901,                  0.994,                0.74658,                 0.9115,                0.55661,                0.98252,              0.0006662,              0.0006662,              0.0006662
                      2,                 0.6901,                0.47017,                0.89342,                0.99287,                 0.9744,                0.99275,                0.80567,                0.72663,                 0.4317,                0.93327,              0.0013197,              0.0013197,              0.0013197
                      3,                0.65844,                0.42948,                0.88233,                0.99071,                0.98701,                0.99383,                0.77703,                0.86403,                0.43236,                0.97575,              0.0019599,              0.0019599,              0.0019599
                      4,                0.66489,                0.40717,                0.88725,                0.98194,                0.97789,                0.99231,                0.80104,                 0.8074,                0.43579,                0.95305,              0.0019406,              0.0019406,              0.0019406
                      5,                0.63326,                0.38172,                0.87745,                0.98968,                0.95763,                0.99214,                 0.7739,                0.89201,                0.49969,                0.97395,              0.0019406,              0.0019406,              0.0019406
                      6,                 0.6121,                0.36676,                0.86942,                0.99616,                0.94106,                0.98101,                0.84126,                0.65554,                0.46911,                0.91363,              0.0019208,              0.0019208,              0.0019208
                      7,                0.60644,                0.36575,                0.86949,                0.99798,                0.98736,                  0.994,                0.80583,                0.79884,                0.38425,                0.94516,               0.001901,               0.001901,               0.001901
                      8,                0.59294,                 0.3454,                0.86553,                0.99774,                0.98601,                0.99389,                0.80246,                0.76136,                0.37041,                0.93571,              0.0018812,              0.0018812,              0.0018812
                      9,                0.58306,                0.33407,                0.86242,                0.99451,                0.98501,                0.99383,                0.85556,                0.67445,                0.36909,                0.91475,              0.0018614,              0.0018614,              0.0018614
                     10,                0.58242,                0.33397,                0.86041,                0.99696,                0.98387,                0.99369,                0.82563,                0.72725,                0.35448,                 0.9233,              0.0018416,              0.0018416,              0.0018416
                     11,                0.58425,                0.33546,                0.85988,                0.98994,                0.96304,                0.98735,                 0.8638,                0.62337,                0.39426,                0.89705,              0.0018218,              0.0018218,              0.0018218
                     12,                0.57624,                0.32439,                0.86024,                0.97226,                0.98402,                0.99193,                0.86026,                0.61722,                0.34229,                0.89763,               0.001802,               0.001802,               0.001802
                     13,                0.57329,                0.32242,                0.85784,                0.99696,                0.98253,                0.99372,                0.85807,                0.65144,                0.34219,                0.90315,              0.0017822,              0.0017822,              0.0017822
                     14,                0.56567,                0.32226,                0.85832,                0.98857,                0.96204,                0.99265,                0.84616,                0.68034,                0.39833,                0.90628,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.5649,                0.31595,                0.85656,                0.98893,                0.98002,                0.99375,                0.84159,                0.70452,                0.36723,                0.90508,              0.0017426,              0.0017426,              0.0017426
                     16,                0.55846,                0.30973,                0.85622,                0.99691,                0.96564,                0.99126,                0.86088,                0.61231,                0.37269,                0.89165,              0.0017228,              0.0017228,              0.0017228
                     17,                0.55473,                0.30967,                0.85423,                0.98335,                0.98102,                0.99345,                0.85312,                0.65411,                0.32354,                0.89659,               0.001703,               0.001703,               0.001703
